label_column	model_name	text_column	embedding_type
coip	SuperSimpleLSTMClassifier	evd_frg	bio_glove50
i_meth	SuperSimpleLSTMClassifier	evd_frg	bio_glove50
i_meth_label	SuperSimpleLSTMClassifier	evd_frg	bio_glove50
p_meth	SuperSimpleLSTMClassifier	evd_frg	bio_glove50
p_meth_label	SuperSimpleLSTMClassifier	evd_frg	bio_glove50
wb	SuperSimpleLSTMClassifier	evd_frg	bio_glove50
coip	SuperSimpleLSTMClassifier	text	bio_glove50
i_meth	SuperSimpleLSTMClassifier	text	bio_glove50
i_meth_label	SuperSimpleLSTMClassifier	text	bio_glove50
p_meth	SuperSimpleLSTMClassifier	text	bio_glove50
p_meth_label	SuperSimpleLSTMClassifier	text	bio_glove50
wb	SuperSimpleLSTMClassifier	text	bio_glove50
coip	FancyConvolutionNetworkClassifier	evd_frg	bio_glove50
i_meth	FancyConvolutionNetworkClassifier	evd_frg	bio_glove50
i_meth_label	FancyConvolutionNetworkClassifier	evd_frg	bio_glove50
p_meth	FancyConvolutionNetworkClassifier	evd_frg	bio_glove50
p_meth_label	FancyConvolutionNetworkClassifier	evd_frg	bio_glove50
wb	FancyConvolutionNetworkClassifier	evd_frg	bio_glove50
coip	FancyConvolutionNetworkClassifier	text	bio_glove50
i_meth	FancyConvolutionNetworkClassifier	text	bio_glove50
i_meth_label	FancyConvolutionNetworkClassifier	text	bio_glove50
p_meth	FancyConvolutionNetworkClassifier	text	bio_glove50
p_meth_label	FancyConvolutionNetworkClassifier	text	bio_glove50
wb	FancyConvolutionNetworkClassifier	text	bio_glove50
