label_column	model_name	text_column	embedding_type
coip	SuperSimpleLSTMClassifier	evd_frg	fasttext300
i_meth	SuperSimpleLSTMClassifier	evd_frg	fasttext300
i_meth_label	SuperSimpleLSTMClassifier	evd_frg	fasttext300
p_meth	SuperSimpleLSTMClassifier	evd_frg	fasttext300
p_meth_label	SuperSimpleLSTMClassifier	evd_frg	fasttext300
wb	SuperSimpleLSTMClassifier	evd_frg	fasttext300
coip	SuperSimpleLSTMClassifier	text	fasttext300
i_meth	SuperSimpleLSTMClassifier	text	fasttext300
i_meth_label	SuperSimpleLSTMClassifier	text	fasttext300
p_meth	SuperSimpleLSTMClassifier	text	fasttext300
p_meth_label	SuperSimpleLSTMClassifier	text	fasttext300
wb	SuperSimpleLSTMClassifier	text	fasttext300
coip	FancyConvolutionNetworkClassifier	evd_frg	fasttext300
i_meth	FancyConvolutionNetworkClassifier	evd_frg	fasttext300
i_meth_label	FancyConvolutionNetworkClassifier	evd_frg	fasttext300
p_meth	FancyConvolutionNetworkClassifier	evd_frg	fasttext300
p_meth_label	FancyConvolutionNetworkClassifier	evd_frg	fasttext300
wb	FancyConvolutionNetworkClassifier	evd_frg	fasttext300
coip	FancyConvolutionNetworkClassifier	text	fasttext300
i_meth	FancyConvolutionNetworkClassifier	text	fasttext300
i_meth_label	FancyConvolutionNetworkClassifier	text	fasttext300
p_meth	FancyConvolutionNetworkClassifier	text	fasttext300
p_meth_label	FancyConvolutionNetworkClassifier	text	fasttext300
wb	FancyConvolutionNetworkClassifier	text	fasttext300
