label_column	model_name	text_column	embedding_type
coip	SuperSimpleLSTMClassifier	evd_frg	glove100
i_meth	SuperSimpleLSTMClassifier	evd_frg	glove100
i_meth_label	SuperSimpleLSTMClassifier	evd_frg	glove100
p_meth	SuperSimpleLSTMClassifier	evd_frg	glove100
p_meth_label	SuperSimpleLSTMClassifier	evd_frg	glove100
wb	SuperSimpleLSTMClassifier	evd_frg	glove100
coip	SuperSimpleLSTMClassifier	text	glove100
i_meth	SuperSimpleLSTMClassifier	text	glove100
i_meth_label	SuperSimpleLSTMClassifier	text	glove100
p_meth	SuperSimpleLSTMClassifier	text	glove100
p_meth_label	SuperSimpleLSTMClassifier	text	glove100
wb	SuperSimpleLSTMClassifier	text	glove100
coip	FancyConvolutionNetworkClassifier	evd_frg	glove100
i_meth	FancyConvolutionNetworkClassifier	evd_frg	glove100
i_meth_label	FancyConvolutionNetworkClassifier	evd_frg	glove100
p_meth	FancyConvolutionNetworkClassifier	evd_frg	glove100
p_meth_label	FancyConvolutionNetworkClassifier	evd_frg	glove100
wb	FancyConvolutionNetworkClassifier	evd_frg	glove100
coip	FancyConvolutionNetworkClassifier	text	glove100
i_meth	FancyConvolutionNetworkClassifier	text	glove100
i_meth_label	FancyConvolutionNetworkClassifier	text	glove100
p_meth	FancyConvolutionNetworkClassifier	text	glove100
p_meth_label	FancyConvolutionNetworkClassifier	text	glove100
wb	FancyConvolutionNetworkClassifier	text	glove100
