label_column	model_name	text_column	embedding_type
coip	PreComputedElmoBidirectionalLSTMClassifier	evd_frg	bio_elmo
i_meth	PreComputedElmoBidirectionalLSTMClassifier	evd_frg	bio_elmo
i_meth_label	PreComputedElmoBidirectionalLSTMClassifier	evd_frg	bio_elmo
p_meth	PreComputedElmoBidirectionalLSTMClassifier	evd_frg	bio_elmo
p_meth_label	PreComputedElmoBidirectionalLSTMClassifier	evd_frg	bio_elmo
wb	PreComputedElmoBidirectionalLSTMClassifier	evd_frg	bio_elmo
coip	PreComputedElmoBidirectionalLSTMClassifier	text	bio_elmo
i_meth	PreComputedElmoBidirectionalLSTMClassifier	text	bio_elmo
i_meth_label	PreComputedElmoBidirectionalLSTMClassifier	text	bio_elmo
p_meth	PreComputedElmoBidirectionalLSTMClassifier	text	bio_elmo
p_meth_label	PreComputedElmoBidirectionalLSTMClassifier	text	bio_elmo
wb	PreComputedElmoBidirectionalLSTMClassifier	text	bio_elmo
