label_column	model_name	text_column	embedding_type
coip	FancyConvolutionNetworkClassifier	evd_frg	bio_glove1024
i_meth	FancyConvolutionNetworkClassifier	evd_frg	bio_glove1024
i_meth_label	FancyConvolutionNetworkClassifier	evd_frg	bio_glove1024
p_meth	FancyConvolutionNetworkClassifier	evd_frg	bio_glove1024
p_meth_label	FancyConvolutionNetworkClassifier	evd_frg	bio_glove1024
wb	FancyConvolutionNetworkClassifier	evd_frg	bio_glove1024
coip	FancyConvolutionNetworkClassifier	text	bio_glove1024
i_meth	FancyConvolutionNetworkClassifier	text	bio_glove1024
i_meth_label	FancyConvolutionNetworkClassifier	text	bio_glove1024
p_meth	FancyConvolutionNetworkClassifier	text	bio_glove1024
p_meth_label	FancyConvolutionNetworkClassifier	text	bio_glove1024
wb	FancyConvolutionNetworkClassifier	text	bio_glove1024
