label_column	model_name	text_column	embedding_type
coip	SuperSimpleLSTMClassifier	evd_frg	glove300
i_meth	SuperSimpleLSTMClassifier	evd_frg	glove300
i_meth_label	SuperSimpleLSTMClassifier	evd_frg	glove300
p_meth	SuperSimpleLSTMClassifier	evd_frg	glove300
p_meth_label	SuperSimpleLSTMClassifier	evd_frg	glove300
wb	SuperSimpleLSTMClassifier	evd_frg	glove300
coip	SuperSimpleLSTMClassifier	text	glove300
i_meth	SuperSimpleLSTMClassifier	text	glove300
i_meth_label	SuperSimpleLSTMClassifier	text	glove300
p_meth	SuperSimpleLSTMClassifier	text	glove300
p_meth_label	SuperSimpleLSTMClassifier	text	glove300
wb	SuperSimpleLSTMClassifier	text	glove300
coip	FancyConvolutionNetworkClassifier	evd_frg	glove300
i_meth	FancyConvolutionNetworkClassifier	evd_frg	glove300
i_meth_label	FancyConvolutionNetworkClassifier	evd_frg	glove300
p_meth	FancyConvolutionNetworkClassifier	evd_frg	glove300
p_meth_label	FancyConvolutionNetworkClassifier	evd_frg	glove300
wb	FancyConvolutionNetworkClassifier	evd_frg	glove300
coip	FancyConvolutionNetworkClassifier	text	glove300
i_meth	FancyConvolutionNetworkClassifier	text	glove300
i_meth_label	FancyConvolutionNetworkClassifier	text	glove300
p_meth	FancyConvolutionNetworkClassifier	text	glove300
p_meth_label	FancyConvolutionNetworkClassifier	text	glove300
wb	FancyConvolutionNetworkClassifier	text	glove300
